ID,Question,Choix A,Choix B,Choix C,Choix D,Reponse,Categorie
1,Quelle est la capitale de la France ?,Paris,Lyon,Marseille,Toulouse,A,Géographie
2,Quelle est la plus petite planète du système solaire ?,Mercure,Terre,Mars,Jupiter,A,Astronomie
3,Qui a peint La Joconde ?,Michel-Ange,Léonard de Vinci,Pablo Picasso,Claude Monet,B,Art
4,Quelle est la formule chimique de l'eau ?,H2O,CO2,O2,NaCl,A,Chimie
5,Dans quel pays se trouve le Colisée ?,Espagne,Italie,Grèce,France,B,Histoire
6,Combien de continents y a-t-il sur Terre ?,5,6,7,8,C,Géographie
7,Quelle langue est principalement parlée au Brésil ?,Espagnol,Portugais,Anglais,Français,B,Langues
8,Quel est le plus grand mammifère ?,Éléphant,Baleine bleue,Rhinocéros,Hippopotame,B,Biologie
9,Quelle est la capitale du Japon ?,Séoul,Tokyo,Pékin,Osaka,B,Géographie
10,Qui a écrit Roméo et Juliette ?,Victor Hugo,Charles Dickens,William Shakespeare,Honoré de Balzac,C,Littérature
11,Quel élément chimique a pour symbole He ?,Hydrogène,Hélium,Carbone,Azote,B,Chimie
12,Quelle est la durée d'une année sur Mars en jours terrestres ?,365,687,432,310,B,Astronomie
13,Quel est le nom du président des États-Unis en 2021 ?,Donald Trump,Joe Biden,Barack Obama,Bernie Sanders,B,Histoire
14,Quelle est la couleur du sang des veines ?,Bleu,Vert,Rouge,Transparent,C,Biologie
15,Quelle est la plus grande planète du système solaire ?,Saturne,Jupiter,Mars,Terre,B,Astronomie
16,Quel est le plus grand désert du monde ?,Sahara,Antarctique,Désert arabique,Gobi,B,Géographie
17,Quelle ville est surnommée la "Big Apple" ?,San Francisco,New York,Los Angeles,Chicago,B,Géographie
18,Qui a découvert la pénicilline ?,Albert Einstein,Alexander Fleming,Louis Pasteur,Marie Curie,B,Science
19,Quel pays a remporté la Coupe du Monde de la FIFA en 2018 ?,Allemagne,Brésil,France,Espagne,C,Sport
20,Qui a inventé le téléphone ?,Thomas Edison,Alexander Graham Bell,Nikola Tesla,Isaac Newton,B,Histoire
21,Combien de pattes a une araignée ?,6,8,10,12,B,Biologie
22,Quelle est la langue officielle de la Chine ?,Anglais,Mandarin,Hindi,Français,B,Langues
23,Qui est l'auteur de Harry Potter ?,J.R.R. Tolkien,George R.R. Martin,J.K. Rowling,Stephen King,C,Littérature
24,Quel pays est connu pour la tour Eiffel ?,Italie,France,Allemagne,Royaume-Uni,B,Géographie
25,Quelle est la température de congélation de l'eau en degrés Celsius ?,0,100,-1,-10,A,Science
26,Quelle est la planète rouge ?,Jupiter,Mars,Vénus,Saturne,B,Astronomie
27,Quelle ville est célèbre pour le carnaval et le Christ Rédempteur ?,Madrid,Rio de Janeiro,Mexico City,Buenos Aires,B,Géographie
28,Quel gaz est essentiel à la respiration humaine ?,Oxygène,Azote,Hydrogène,Hélium,A,Science
29,Quelle est la monnaie du Japon ?,Dollar,Yen,Euro,Yuan,B,Économie
30,Quel est le symbole chimique de l'or ?,G,Au,Ag,Fe,B,Chimie
31,Quel océan borde la côte est des États-Unis ?,Pacifique,Atlantique,Arctique,Indien,B,Géographie
32,Qui a écrit Les Misérables ?,Honoré de Balzac,Charles Baudelaire,Victor Hugo,Gustave Flaubert,C,Littérature
33,Quelle est la capitale de l'Espagne ?,Lisbonne,Madrid,Barcelone,Valence,B,Géographie
34,Qui a développé la théorie de la relativité ?,Isaac Newton,Nicola Tesla,Albert Einstein,Marie Curie,C,Science
35,Quelle est la valeur de Pi approximativement ?,3.14,2.71,1.41,3.33,A,Mathématiques
36,Quel est le nom du processus par lequel les plantes fabriquent leur nourriture ?,Respiration,Photosynthèse,Transpiration,Oxydation,B,Biologie
37,Combien de jours y a-t-il en février lors d'une année bissextile ?,28,29,30,31,B,Histoire
38,Quelle est la distance moyenne de la Terre au Soleil ?,149.6 millions de km,108 millions de km,227.9 millions de km,50 millions de km,A,Astronomie
39,Quel est l'animal le plus rapide sur Terre ?,Guépard,Lièvre,Faucon pèlerin,Lion,A,Biologie
40,Quelle est la capitale de l'Australie ?,Sydney,Melbourne,Canberra,Brisbane,C,Géographie
